Day,Date,Groceries&Supplies,EatingOut,Amazon,Misc,Uber,OtherMOT,Total,DistTrav,DistWalk,Area,HrsSleep,HrsStudy,HrsRead,HrsYoutube,HrsNetflix,HrsESO,Mood
Wednesday,6/22/2016,0,22.33,0,0,0,20,42.33,0,1,JC,7,2.5,1,4,1,0,Good
Thursday,6/23/2016,32.95,0,0,0,0,0,32.95,0,1.5,JC,7,2,2,2,1,0.5,Good
Friday,6/24/2016,51.96,0,0,0,0,0,51.96,11.3,2,BK,6,1,4,3,2,0,Okay
Saturday,6/25/2016,0,0,0,0,0,0,0,11.3,2,BK,9,0,4,1,3,0,Okay
Sunday,6/26/2016,84.73,42.18,0,0,0,0,126.91,0,4,JC,10,0,4,2,4,2,Bad
Monday,6/27/2016,33.66,0,0,95.97,0,0,129.63,0,2.5,JC,8,1,2,3,1,1,Okay
Tuesday,6/28/2016,21.26,31.74,0,0,0,0,53,0,2.2,JC,7,2,3,3,1,1,Good
Wednesday,6/29/2016,20.27,0,0,29,0,10.5,59.77,23.2,2.3,NR,6,1,1,0.5,1,0,Good
Thursday,6/30/2016,0,0,0,0,0,10.5,10.5,23.2,2,JC,7,2,2,0.5,1,0.5,Good
Friday,7/1/2016,71.19,31.31,0,48.92,0,0,151.42,11.3,3,BK,6,1,2,2,3,0,Good
Saturday,7/2/2016,0,29.72,0,0,0,20,49.72,0,2,BK,7,0,2,1,4,0,Good
Sunday,7/3/2016,48.76,0,0,0,0,0,48.76,0,4,BK,8,0,3,1,5,0,Good
Monday,7/4/2016,0,0,0,8.99,0,0,8.99,0,2,BK,7,2,2,2,4,0,Good
Tuesday,7/5/2016,35.34,32.81,0,84,0,0,152.15,0,1,BK,8,1,3,1,2,0,Good
Wednesday,7/6/2016,16.1,0,0,0,0,0,16.1,0,3,BK,9,3,2,2,1.5,0,Okay
Thursday,7/7/2016,34.99,59.93,0,18.97,0,58,171.89,0,2,BK,8,2,3,2,2,0,Okay
Friday,7/8/2016,12,16.32,3.99,177.58,44.96,60,314.85,175.7,0,HAR,7,3,3,1,0,0,Bad
Saturday,7/9/2016,0,35.98,0,0,12.01,0,47.99,3.4,2.4,HAR,5,8,4,0,3,0,Okay
Sunday,7/10/2016,91.6,0,0,32.65,12.91,0,137.16,98.1,1,KOP,7,0,0,0,0,0,Okay
Monday,7/11/2016,7.75,47.38,0,25.73,59.3,0,140.16,9.6,2.1,KOP,6,1,1,0.5,0,0,Bad
Tuesday,7/12/2016,0,0,0,0,52.3,0,52.3,8.5,3,KOP,7,1,2,1,0,0,Bad
Wednesday,7/13/2016,37.56,3.83,0,14.99,20.7,0,77.08,5.1,2.2,KOP,6,3,1,1,0,0,Bad
Thursday,7/14/2016,5.43,0,0,0,38.07,0,43.5,5.1,3.2,KOP,5,1,1,0,0,0,Good
Friday,7/15/2016,0,31.37,0,0,8.77,0,40.14,5.1,0,KOP,7,2,1,1,0,0,Okay
Saturday,7/16/2016,43.3,38.86,0,74.2,42.46,0,198.82,19.4,1.3,KOP,9,0,1,0,0,0,Good
Sunday,7/17/2016,0,0,0,0,0,0,0,0,2,KOP,10,0,2,0,0,0,Good
Monday,7/18/2016,37.45,16.6,64.11,5.06,26.69,0,149.91,5.1,3.5,KOP,6,0,1,1,0,0,Good
Tuesday,7/19/2016,8.05,0,0,269,33.36,0,310.41,5.1,1.2,KOP,7,1,2,2,0,0,Okay
Wednesday,7/20/2016,22.91,0,0,0,12.34,0,35.25,5.1,1.5,KOP,6,3,2,1,0,0,Okay
Thursday,7/21/2016,0,0,0,0,19.78,0,19.78,5.1,1,KOP,7,2,1,0,0,0,Okay
Friday,7/22/2016,6.23,26.71,0,144.12,20.26,0,197.32,9.6,1.1,KOP,6,1,1,0,0,0,Good
Saturday,7/23/2016,97.65,31.13,0,310.66,56.97,0,496.41,19.4,2.5,DVN,5,0,0.5,0,4,0,Good
Sunday,7/24/2016,0,8.17,31.66,349.63,46.95,0,436.41,21.3,1.7,DVN,6,0,0,0.5,3,0,Good
Monday,7/25/2016,96.35,25.07,0,0,36.48,0,157.9,7.8,1.2,DVN,7,1,2,4,2,1,Okay
Tuesday,7/26/2016,20.06,0,318.14,100.08,30.51,0,468.79,7.8,1,DVN,6,2,3,3,1,2,Okay
Wednesday,7/27/2016,0,0,0,0,24.75,0,24.75,7.8,1.3,DVN,7,3,2,4,2,2,Okay
Thursday,7/28/2016,38.58,30.85,0,22.99,17.64,0,110.06,7.8,1.2,DVN,8,3,3,3,1,2,Okay
Friday,7/29/2016,0,0,24.8,21,24.79,0,70.59,7.8,1.1,DVN,8,2,2,4,2,3,Good
Saturday,7/30/2016,160.55,0,0,0,0,0,160.55,0,4.3,DVN,9,2,1,1,2,2,Good
Sunday,7/31/2016,,31.02,0,15.99,0,0,47.01,0,3.2,DVN,7,0,2,0.5,3,0,Okay
Monday,8/1/2016,99,0,24.37,204.73,23.95,0,352.05,7.8,5.3,DVN,6,3,3,3,1,0,Okay
Tuesday,8/2/2016,22.09,0,137.34,0,17.89,44.2,221.52,7.8,1.4,DVN,5,4,3,3,2,1,Good
Wednesday,8/3/2016,10.56,20.91,0,0,16.14,0,47.61,7.8,1.2,DVN,6,3,4,5,1.5,1,Good
Thursday,8/4/2016,0,0,0,0,26.69,0,26.69,7.8,1.2,DVN,8,6,2,4,1.5,0.5,Good
